REF,name,vat,street,city,state,ZIP,email,phone,fax,website,Presidente Camara,dbname,in_directory
2674,Município Lamego,PT506572218,Avenida Padre Alfredo Pinto Teixeira,Lamego,Viseu,5100-150,camara@cm-lamego.pt,254609600,254609601,www.cm-lamego.pt,Francisco Manuel Lopes,lamego.croa.pt,1
2675,Município Leiria,PT505181266,Largo do Município,Leiria,Leiria,2414-006,cmleiria@cm-leiria.pt,244839500,244839562,www.cm-leiria.pt,Raúl Miguel de Castro,leiria.croa.pt,1
2676,Município Lisboa,PT500051070,Paços do Concelho - Praça do Município,Lisboa,Lisboa,1100-365,municipe@cm-lisboa.pt,213236200,213236137,www.cm-lisboa.pt,António Luís Santos da Costa,lisboa.croa.pt,1
2677,Município Loulé,PT502098139,"Praça da República, N.º 5",Loulé,Faro,8100-270,gab.comunicacao@cm-loule.pt,289400600,289415557,www.cm-loule.pt,Vitor Manuel Gonçalves Aleixo,loule.croa.pt,1
2678,Município Loures,PT501294996,Praça da Liberdade,Loures,Lisboa,2674-501,geral@cm-loures.pt,211150100,211151709,www.cm-loures.pt,Bernardino José Torrão Soares,loures.croa.pt,1
2679,Município Lourinhã,PT502177101,Praça José Máximo da Costa,Lourinhã,Lisboa,2534-500,geral@cm-lourinha.pt,261410100,261410108,www.cm-lourinha.pt,João Duarte Anastácio de Carvalho,lourinha.croa.pt,1
2680,Município Lousã,PT501121528,Rua Dr. João Santos,Lousã,Coimbra,3200-953,geral@cm-lousa.pt,239990370,239990379,www.cm-lousa.pt,Luís Miguel Correia Antunes,lousa.croa.pt,1
2681,Município Lousada,PT505279460,Praça Dr. Francisco Sá Carneiro,Lousada,Porto,4621-909,cm-lousada@cm-lousada.pt,255820500,255820550,www.cm-lousada.pt,Pedro Daniel Machado Gomes,lousada.croa.pt,1
2682,Município Mação,PT506814343,Rua Padre António Pereira Figueiredo,Mação,Santarém,6120-750,presidente@cm-macao.pt,241577200,241577280,www.cm-macao.pt,Vasco António Mendonça Sequeira Estrela,macao.croa.pt,1
2683,Município Macedo de Cavaleiros,PT506697339,Jardim 1º Maio,Macedo de Cavaleiros,Bragança,5340-218,cmacedocavaleiros@mail.telepac.pt,278420420,278426243,www.cm-macedodecavaleiros.pt,Manuel Duarte Fernandes Moreno,macedodecavaleiros.croa.pt,1
2684,Município Machico,PT511239440,Largo do Município,Machico,Madeira,9200-099,gabinete.apoio@cm-machico.pt,291969990,291965515,www.cm-machico.pt,Ricardo Miguel Nunes Franco,machico.croa.pt,1
2685,Município Madalena,PT512070946,Largo Cardeal Costa Nunes,Madalena,Açores,9950-324,geral@cm-madalena.pt,292628700,292628746,www.cm-madalena.pt,José António Marcos Soares,madalena.croa.pt,1
2686,Município Mafra,PT502177080,Praça do Município,Mafra,Lisboa,2644-001,geral@cm-mafra.pt,261810100,261810130,www.cm-mafra.pt,Helder António Guerra de Sousa Silva,mafra.croa.pt,1
2687,Município Maia,PT505387131,Praça Doutor José Vieira Carvalho,Maia,Porto,4474-006,geral@cm-maia.pt,229408600,229480901,www.cm-maia.pt,António Gonçalves Bragança Fernandes,maia.croa.pt,1
2688,Município Mangualde,PT501262997,Largo Dr. Couto,Mangualde,Viseu,3534-004,nuc.informatica@cmmangualde.pt,232619880,232623958,www.cmmangualde.pt,João Nuno Ferreira Gonçalves de Azevedo,mangualde.croa.pt,1
2689,Município Manteigas,PT506632946,Rua 1º de Maio,Manteigas,Guarda,6260-101,geral@cm-manteigas.pt,275980000,275982092,www.cm-manteigas.pt,José Manuel Custódia Biscaia,manteigas.croa.pt,1
2690,Município Marco de Canaveses,PT501073655,Largo Sacadura Cabral,Marco de Canaveses,Porto,4630-219,info@cm-marco-canaveses.pt,255538800,255538899,www.cm-marco-canaveses.pt,Manuel Maria Moreira,marcodecanaveses.croa.pt,1
2691,Município Marinha Grande,PT505776758,Praça Guilherme Stephens,Marinha Grande,Leiria,2430-960,geral@cm-mgrande.pt,244573300,244561710,www.cm-mgrande.pt,Álvaro Manuel Marques Pereira,marinhagrande.croa.pt,1
2692,Município Marvão,PT501170162,Largo de Santa Maria,Marvão,Portalegre,7330-101,contabilidade@cm-marvao.pt,245909130,245993526,www.cm-marvao.pt,Victor Manuel Martins Frutuoso,marvao.croa.pt,1
2693,Município Matosinhos,PT501305912,Av. D. Afonso Henriques,Matosinhos,Porto,4450-510,mail@cm-matosinhos.pt,229390900,229373213,www.cm-matosinhos.pt,Guilherme Manuel Lopes Pinto,matosinhos.croa.pt,1
2694,Município Mealhada,PT506792382,Largo do Município,Mealhada,Aveiro,3054-001,gabpresidencia@cm-mealhada.pt,231200980,231203618,www.cm-mealhada.pt,Rui Manuel Leal Marqueiro,mealhada.croa.pt,1
2695,Município Meda,PT505161974,Largo do Município,Meda,Guarda,6430-197,cmeda@cm-meda.pt,279880040,279882520,www.cm-meda.pt,Anselmo Antunes de Sousa,meda.croa.pt,1
2696,Município Melgaço,PT505592940,Largo Hermenigildo Solheiro,Melgaço,Viana do Castelo,4960-551,mbatista@cm-melgaco.pt,251410100,251402429,www.cm-melgaco.pt,Manoel Batista Calçada Pombal,melgaco.croa.pt,1
2697,Município Mértola,PT503279765,Praça Luís de Camões,Mértola,Beja,7750-329,geral@cm-mertola.pt,286610100,286610101,www.cm-mertola.pt,Jorge Paulo Colaço Rosa,mertola.croa.pt,1
2698,Município Mesão Frio,PT506840328,Avenida José Maria Alpoim,Mesão Frio,Vila Real,5040-310,geral@cm-mesaofrio.pt,254890100,254890109,www.cm-mesaofrio.pt,Alberto Monteiro Pereira,mesaofrio.croa.pt,1
2699,Município Mira,PT506724530,Praça da República,Mira,Coimbra,3070-306,geral@cm-mira.pt,231480550,231458185,www.cm-mira.pt,Raul José Rei Soares de Almeida,mira.croa.pt,1
2700,Município Miranda do Corvo,PT506624200,Praça José Falcão,Miranda do Corvo,Coimbra,3220-403,camara@cm-mirandadocorvo.pt,239530320,239532952,www.cm-mirandadocorvo.pt,António Miguel Costa Baptista,mirandadocorvo.croa.pt,1
2701,Município Miranda do Douro,PT506806898,Largo D. João III,Miranda do Douro,Bragança,5210-190,geral@cm-mdouro.pt,273430020,273431075,www.cm-mdouro.pt,Artur Manuel Rodrigues Nunes,mdouro.croa.pt,1
2702,Município Mirandela,PT506881784,Largo do Município,Mirandela,Bragança,5370-288,andreia.gomes@cm-mirandela.pt,278200200,278265753,www.cm-mirandela.pt,António Almor Branco,mirandela.croa.pt,1
2703,Município Mogadouro,PT506851168,Largo do Convento de S. Francisco,Mogadouro,Bragança,5200-244,informatica@mogadouro.pt,279340100,279341874,www.mogadouro.pt,Francisco José Mateus Albuquerque Guimarães,mogadouro.croa.pt,1
2704,Município Moimenta da Beira,PT506664686,Largo do Tabolado,Moimenta da Beira,Viseu,3620-324,cmmbeira@cm-moimenta.pt,254520070,254520071,www.cm-moimenta.pt,José Eduardo Lopes Ferreira,moimentadabeira.croa.pt,1
2705,Município Moita,PT506791220,Praça da República,Moita,Setúbal,2864-007,cmmoita@mail.cm-moita.pt,212806700,212894928,www.cm-moita.pt,Rui Manuel Marques Garcia,moita.croa.pt,1
2706,Município Monção,PT501937471,Largo de Camões,Monção,Viana do Castelo,4950-444,geral@cm-moncao.pt,251649000,251649010,www.cm-moncao.pt,Augusto Henrique de Oliveira Domingues,moncao.croa.pt,1
2707,Município Monchique,PT506826961,"Travessa da Portela, N.º 2",Monchique,Faro,8550-470,geral@cm-monchique.pt,282910200,282910299,www.cm-monchique.pt,Rui Miguel da Silva André,monchique.croa.pt,1
2708,Município Mondim de Basto,PT506967107,Largo Conde de Vila Real,Mondim de Basto,Vila Real,4880-236,geral@cm-mondimdebasto.pt,255389300,255389398,http://municipio.mondimdebasto.pt,Humberto da Costa Cerqueira,mondimdebasto.croa.pt,1
2709,Município Monforte,PT506873412,Praça da República,Monforte,Portalegre,7450-115,fpp@cm-monforte.pt,245578060,245573423,www.cm-monforte.pt,Gonçalo Nuno Brandão Ribeiro Amanso Pataca Lagem,monforte.croa.pt,1
2710,Município Montalegre,PT506149811,Praça do Município nº 1,Montalegre,Vila Real,5470-214,municipio@cm-montalegre.pt,276510200,276510201,www.cm-montalegre.pt,Manuel Orlando Fernandes Alves,montalegre.croa.pt,1
2711,Município Montemor-o-Novo,PT506609553,Largo Paços do Concelho,Montemor-o-Novo,Évora,7050-127,cmmontemor@cm-montemornovo.pt,266898100,266877096,www.cm-montemornovo.pt,Hortênsia dos Anjos Chegado Menino,montemoronovo.croa.pt,1
2712,Município Montemor-o-Velho,PT501272976,Praça da República,Montemor-o-Velho,Coimbra,3140-258,geral@cm-montemorvelho.pt,239689200,239687318,www.cm-montemorvelho.pt,Emílio Augusto Ferreira Torrão,montemorovelho.croa.pt,1
2713,Município Montijo,PT502834846,Rua Manuel Neves Nunes de Almeida,Montijo,Setúbal,2870-352,geral@mun-montijo.pt,212327600,212327668,www.mun-montijo.pt,Nuno Miguel Ribeiro Canta,montijo.croa.pt,1
2714,Município Mora,PT501129103,Rua do Município,Mora,Évora,7490-243,cmmora@mail.telepac.pt,266439070,266403260,www.cm-mora.pt,Luis Simão Duarte de Matos,mora.croa.pt,1
2715,Município Mortágua,PT506855368,Rua João Lopes de Morais,Mortágua,Viseu,3450-153,mortagua@cm-mortagua.pt,231927460,231927469,www.cm-mortagua.pt,José Júlio Henriques Norte,mortagua.croa.pt,1
2717,Município Moura,PT502174153,Praça Sacadura Cabral,Moura,Beja,7860-207,cmmoura@cm-moura.pt,285250400,285251702,www.cm-moura.pt,Santiago Augusto Ferreira Macias,moura.croa.pt,1
2716,Município Mourão,PT501206639,Praça da República N.º 20,Mourão,Évora,7240-233,gap@cm-mourao.pt,266560010,266560025,www.cm-mourao.pt,Maria Clara Pimenta Pinto Martins Safara,mourao.croa.pt,1
2718,Município Murça,PT506862763,Praça 5 de Outubro,Murça,Vila Real,5090-112,geral@cm-murca.pt,259510120,259510129,www.cm-murca.pt,José Maria Garcia da Costa,murca.croa.pt,1
2719,Município Murtosa,PT506791238,Praça do Município - Acabada - Pardelhas,Murtosa,Aveiro,3870-101,geral@cm-murtosa.pt,234830100,234867636,www.cm-murtosa.pt,Joaquim Manuel dos Santos Baptista,murtosa.croa.pt,1
2720,Município Nazaré,PT507012100,Av. Vieira Guimarães,Nazaré,Leiria,2450-951,geral@cm-nazare.pt,262550010,262550019,www.cm-nazare.pt,Walter Manuel Cavaleiro Chicharro,nazare.croa.pt,1
2721,Município Nelas,PT506834166,Largo do Município,Nelas,Viseu,3520-001,geral@cm-nelas.pt,232941300,232940899,www.cm-nelas.pt,José Manuel Borges da Silva,nelas.croa.pt,1
2722,Município Nisa,PT506612287,Praça do Município,Nisa,Portalegre,6050-358,geral@cm-nisa.pt,245410000,245412799,www.cm-nisa.pt,Maria Idalina Alves Trindade,nisa.croa.pt,1
2723,Município Nordeste,PT512042659,Praça da República,Nordeste,Açores,9630-141,geral@cmnordeste.pt,296480060,296488519,www.cmnordeste.pt,Carlos Alberto Medeiros Mendonça,nordeste.croa.pt,1
2724,Município Óbidos,PT506802698,Largo de São Pedro,Óbidos,Leiria,2510-086,geral@cm-obidos.pt,262955500,262955001,www.cm-obidos.pt,Humberto da Silva Marques,obidos.croa.pt,1
2725,Município Odemira,PT505311313,Praça da República,Odemira,Beja,7630-139,geral@cm-odemira.pt,283320900,283327323,www.cm-odemira.pt,José Alberto Candeias Guerreiro,odemira.croa.pt,1
10155,Município Odivelas,PT504293125,Paços do Concelho - Quinta da Memória,Odivelas,Lisboa,2675-348,geral@cm-odivelas.pt,219320000,219320227,www.cm-odivelas.pt,Susana de Fátima Carvalho Amador,odivelas.croa.pt,1
2726,Município Oeiras,PT500745943,Largo Marquês de Pombal,Oeiras,Lisboa,2754-501,geral@cm-oeiras.pt,214408300,214408712,www.cm-oeiras.pt,Paulo César Sanches Casinhas da Silva Vistas,oeiras.croa.pt,1
2727,Município Oleiros,PT506824152,Praça do Município,Oleiros,Castelo Branco,6160-409,geral@cm-oleiros.pt,272680130,272682446,www.cm-oleiros.pt,Fernando Marques Jorge,oleiros.croa.pt,1
2728,Município Olhão,PT506321894,Largo Sebastião Mestre,Olhão,Faro,8700-349,geral@cm-olhao.pt,289700100,289700111,www.cm-olhao.pt,António Miguel Ventura Pina,olhao.croa.pt,1
2729,Município Oliveira de Azeméis,PT506302970,Rua da República,Oliveira de Azeméis,Aveiro,3720-504,geral@cm-oaz.pt,256600600,256674694,www.cm-oaz.pt,Hermínio José Sobral de Loureiro Gonçalves,oaz.croa.pt,1
2730,Município Oliveira de Frades,PT501306234,Largo Dr. Joaquim de Almeida,Oliveira de Frades,Viseu,3680-111,presidencia@cm-ofrades.com,232760300,232761727,www.cm-ofrades.com,Luís Manuel Martins de Vasconcelos,ofrades.croa.pt,1
2731,Município Oliveira do Bairro,PT501128840,"Praça do Município,  Ed. Paços do Concelho",Oliveira do Bairro,Aveiro,3770-851,cmolb@cm-olb.pt,234732100,234732112,www.cm-olb.pt,Mário João Ferreira da Silva Oliveira,alb.croa.pt,1
2732,Município Oliveira do Hospital,PT506818829,Largo Conselheiro Cabral Metello,Oliveira do Hospital,Coimbra,3400-062,geral@cm-oliveiradohospital.pt,238605250,238609739,www.cm-oliveiradohospital.pt,José Carlos Alexandrino Mendes,oliveiradohospital.croa.pt,1
2733,Município Ourém,PT501280740,"Praça do Município, 11",Ourém,Santarém,2490-498,geral@cm-ourem.pt,249540900,249540908,www.cm-ourem.pt,Paulo Alexandre Homem de Oliveira Fonseca,ourem.croa.pt,1
2734,Município Ourique,PT506876330,"Avenida 25 de Abril, N.º 26",Ourique,Beja,7670-250,geral@cmourique.pt,286510400,286510401,www.cm-ourique.pt,Pedro Nuno Raposo Prazeres do Carmo,ourique.croa.pt,1
2735,Município Ovar,PT501306269,Praça da República,Ovar,Aveiro,3880-141,gapresidencia@cm-ovar.pt,256581300,256586611,www.cm-ovar.pt,Salvador Malheiro Ferreira da Silva,ovar.croa.pt,1
2738,Município Paços de Ferreira,PT502173297,"Praça da República, 46",Paços de Ferreira,Porto,4590-527,geral@cm-pacosdeferreira.pt,255860700,255860734,www.cm-pacosdeferreira.pt,Humberto Fernando Leão Pacheco de Brito,pacosdeferreira.croa.pt,1
2739,Município Palmela,PT506187543,Largo do Município,Palmela,Setúbal,2954-001,geral@cm-palmela.pt,212336600,212336619,www.cm-palmela.pt,Álvaro Manuel Balseiro Amaro ,palmela.croa.pt,1
2740,Município Pampilhosa da Serra,PT506811883,Rua Rangel de Lima,Pampilhosa da Serra,Coimbra,3320-229,municipio@cm-pampilhosadaserra.pt,235590320,235590329,www.cm-pampilhosadaserra.pt,José Alberto Pacheco Brito Dias,pampilhosadaserra.croa.pt,1
2741,Município Paredes,PT506656128,Parque Jose Guilherme,Paredes,Porto,4580-130,cmparedes@cm-paredes.pt,255788800,255782155,www.cm-paredes.pt,Celso Manuel Gomes Ferreira,paredes.croa.pt,1
2742,Município Paredes de Coura,PT506632938,Largo Visconde de Moselos - Apartado 6,Paredes de Coura,Viana do Castelo,4941-909,contacto@cm-paredes-coura.pt,251780100,251780118,www.cm-paredes-coura.pt,Vítor Paulo Gomes Pereira,paredesdecoura.croa.pt,1
2743,Município Pedrógão Grande,PT507011937,A Devesa,Pedrógão Grande,Leiria,3271-909,geral@cm-pedrogaogrande.pt,236480150,236480159,www.cm-pedrogaogrande.pt,Valdemar Gomes Fernandes Alves,pedrogaogrande.croa.pt,1
2744,Município Penacova,PT506657957,"Largo Alberto Leitão, nº 5",Penacova,Coimbra,3360-191,geral@cm-penacova.pt,239470300,239478098,www.cm-penacova.pt,Humberto José Batista Oliveira,penacova.croa.pt,1
2745,Município Penafiel,PT501073663,Praça do Município,Penafiel,Porto,4564-002,penafiel@cm-penafiel.pt,255710700,255214685,www.cm-penafiel.pt,Antonino Aurélio Vieira de Sousa,penafiel.croa.pt,1
2746,Município Penalva do Castelo,PT506792404,"Avenida Castendo, N.º 1",Penalva do Castelo,Viseu,3550-185,geral@cm-penalvadocastelo.pt,232640020,232640021,www.cm-penalvadocastelo.pt,Francisco Lopes de Carvalho,penalvadocastelo.croa.pt,1
2747,Município Penamacor,PT506192164,Praça do Município,Penamacor,Castelo Branco,6090-543,secretaria.gap@cm-penamacor.pt,277394106,277394196,www.cm-penamacor.pt,António Luís Beites Soares,penamacor.croa.pt,1
2748,Município Penedono,PT506651541,Largo da Devesa,Penedono,Viseu,3630-227,cm-penedono@cm-penedono.pt,254509030,254509039,www.cm-penedono.pt,António Carlos Saraiva Esteves de Carvalho,penedono.croa.pt,1
2749,Município Penela,PT506778037,Praça do Município,Penela,Coimbra,3230-253,cmpenela@cm-penela.pt,239560120,239569400,www.cm-penela.pt,Luis Filipe da Silva Lourenço Matias,penela.croa.pt,1
2750,Município Peniche,PT506812820,Largo do Município,Peniche,Leiria,2520-239,cmpeniche@cm-peniche.pt,262780100,262780111,www.cm-peniche.pt,António José Ferreira Sousa Carreira Santos,peniche.croa.pt,1
2751,Município Peso da Régua,PT506829260,Praça do Município,Peso da Régua,Vila Real,5054-003,cmregua@cmpr.pt,254320230,254314365,www.cm-pesoregua.pt,Nuno Manuel Sousa Pinto de Carvalho Gonçalves,pesodaregua.croa.pt,1
2752,Município Pinhel,PT506787249,"Rua Travessa Portão Norte, N.º 2",Pinhel,Guarda,6400-303,cm-pinhel@cm-pinhel.pt,271410000,271413388,www.cm-pinhel.pt,Rui Manuel Saraiva Ventura,pinhel.croa.pt,1
2753,Município Pombal,PT506334562,Largo do Cardal,Pombal,Leiria,3100-440,geral@cm-pombal.pt,236210500,236210599,www.cm-pombal.pt,Luís Diogo de Paiva Morão Alves Mateus,pombal.croa.pt,1
2754,Município Ponta Delgada,PT512012814,Praça do Município,Ponta Delgada,Açores,9504-523,gabinetedomunicipe@mpdelgada.pt,296304400,296304401,www.mpdelgada.pt,José Manuel Cabral Dias Bolieiro,pontadelgada.croa.pt,1
2755,Município Ponta do Sol,PT511235461,Rua de Santo António N. º 5,Ponta do Sol,Madeira,9360-219,presidencia@cm-pontadosol.pt,291972106,291972711,www.pontadosol.pt,Rui David Pita Marques Luís,pontadosol.croa.pt,1
2756,Município Ponte da Barca,PT505676770,Praça Dr. António Lacerda,Ponte da Barca,Viana do Castelo,4980-620,geral@cmpb.pt,258480180,258480189,www.cmpb.pt,António Vassalo Abreu,cmpb.croa.pt,1
2757,Município Ponte de Lima,PT506811913,Praça da República,Ponte de Lima,Viana do Castelo,4990-062,geral@cm-pontedelima.pt,258900400,258900410,www.cm-pontedelima.pt,Victor Manuel Alves Mendes,pontedelima.croa.pt,1
2758,Município Ponte de Sor,PT506806456,CAMPO DA RESTAURAÇÃO,Ponte de Sor,Portalegre,7400-223,geral@cm-pontedesor.pt,242291580,242291589,www.cm-pontedesor.pt,Hugo Luís Pereira Hilário,pontedesor.croa.pt,1
2759,Município Portalegre,PT501143718,"Rua Guilherme Gomes Fernandes, N.º 28",Portalegre,Portalegre,7300-186,municipio@cm-portalegre.pt,245307400,245307470,www.cm-portalegre.pt,Maria Adelaide Lebreiro de Aguiar Marques Teixeira,portalegre.croa.pt,1
2760,Município Portel,PT506196445,Praça D. Nuno Álvares Pereira,Portel,Évora,7220-375,geral@mail.cm-portel.pt,266619030,266611347,www.cm-portel.pt,José Manuel Clemente Grilo,portel.croa.pt,1
2761,Município Portimão,PT505309939,Praça 1º de Maio,Portimão,Faro,8500-543,geral@cm-portimao.pt,282470700,282470792,www.cm-portimao.pt,Isilda Maria Prazeres Varges Gomes,portimao.croa.pt,1
2762,Município Porto,PT501306099,Praça General Humberto Delgado,Porto,Porto,4049-001,geral@cm-porto.pt,222097000,222097100,www.cm-porto.pt,Rui de Carvalho de Araújo Moreira,porto.croa.pt,1
2765,Município Porto de Mós,PT505586401,Praça da República,Porto de Mós,Leiria,2484-001,geral@municipio-portodemos.pt,244499600,244499601,www.municipio-portodemos.pt,João Salgueiro,portodemos.croa.pt,1
2763,Município Porto Moniz,PT511239068,Praça do Lyra,Porto Moniz,Madeira,9270-053,geral@portomoniz.pt,291850180,291853129,www.portomoniz.pt,João Emanuel Silva Câmara,portomoniz.croa.pt,1
2764,Município Porto Santo,PT511236425,Rua Dr. Nuno Silvestre Teixeira,Porto Santo,Madeira,9400-162,cmportosanto@mail.telepac.pt,291980640,291982005,www.cm-portosanto.pt,Filipe Emanuel Menezes de Oliveira,portosanto.croa.pt,1
2736,Município Póvoa de Lanhoso,PT506632920,Av. da República,Póvoa de Lanhoso,Braga,4830-513,geral@mun-planhoso.pt,253639700,253639709,www.mun-planhoso.pt,Manuel José Torcato Soares Baptista,planhoso.croa.pt,1
2737,Município Póvoa de Varzim,PT506741400,"Praça do Almada, N.º 5A",Póvoa de Varzim,Porto,4490-438,geral@cm-pvarzim.pt,252090000,252090010,www.cm-pvarzim.pt,Aires Henrique do Couto Pereira,povoadevarzim.croa.pt,1
2766,Município Povoação,PT512065047,Largo do Município,Povoação,Açores,9650-411,geral@cm-povoacao.pt,296550200,296550219,www.cm-povoacao.pt,Carlos Emílio Lopes Machado Ávila,povoacao.croa.pt,1
2767,Município Praia da Vitória,PT512044023,Praça Francisco Ornelas da Câmara,Praia da Vitória,Açores,9760-851,geral@cmpv.pt,295540200,295540210,www.cmpv.pt,Roberto Lúcio Silva Pereira Monteiro,cmpv.croa.pt,1
2768,Município Proença-a-Nova,PT505377802,Avenida do Colégio,Proença-a-Nova,Castelo Branco,6150-401,geral@cm-proencanova.pt,274670000,274672697,www.cm-proencanova.pt,João Paulo Marçal Lopes Catarino,proencanova.croa.pt,1
2769,Município Redondo,PT501834117,Praça da República,Redondo,Évora,717O-011,geral@cm-redondo.pt,266989210,266909039,www.cm-redondo.pt,António José Rega Matos Recto,redondo.croa.pt,1
2770,Município Reguengos de Monsaraz,PT507040589,Praça da Liberdade,Reguengos de Monsaraz,Évora,7200-370,geral@cm-reguengos-monsaraz.pt,266508040,266508059,www.cm-reguengos-monsaraz.pt,José Gabriel Paixão Calixto,reguengosmonsaraz.croa.pt,1
2771,Município Resende,PT506349381,Av. Rebelo Moniz,Resende,Viseu,4660-215,geral@cm-resende.pt,254240930,254877424,www.cm-resende.pt,Manuel Joaquim Garcez Trindade,resende.croa.pt,1
2772,Município Ribeira Brava,PT511236417,Rua do Visconde N.º 56,Ribeira Brava,Madeira,9350-213,geral@cm-ribeirabrava.pt,291952548,291952182,www.cm-ribeirabrava.pt,Ricardo António Nascimento,ribeirabrava.croa.pt,1
2774,Município Ribeira de Pena,PT506818098,Praça do Município,Ribeira de Pena,Vila Real,4870-152,geral@cm-rpena.pt,259490500,259493520,www.cm-rpena.pt,Rui Vaz Alves,rpena.croa.pt,1
2773,Município Ribeira Grande,PT512013241,Largo Conselheiro HIntze Ribeiro,Ribeira Grande,Açores,9600-509,geralcmrg@cm-ribeiragrande.pt,296470730,296470739,www.cm-ribeiragrande.pt,Alexandre Branco Gaudêncio,ribeiragrande.croa.pt,1
2775,Município Rio Maior,PT505656000,Praça da República,Rio Maior,Santarém,2040-320,cmriomaior@mail.telepac.pt,243999300,243992236,www.cm-riomaior.pt,Isaura Maria Elias Crisóstomo Bernardino Morais,riomaior.croa.pt,1
2782,Município Sabrosa,PT506824942,Rua do Loreto,Sabrosa,Vila Real,5060-338,geral@cm-sabrosa.pt,259937120,259937129,www.sabrosa.pt,José Manuel Carvalho Marques,sabrosa.croa.pt,1
2783,Município Sabugal,PT506811662,Praça da República,Sabugal,Guarda,6324-007,geral@cm-sabugal.pt,271751040,271753408,www.cm-sabugal.pt,António dos Santos Robalo,sabugal.croa.pt,1
2784,Município Salvaterra de Magos,PT506755150,Praça da República N.º 1,Salvaterra de Magos,Santarém,2120-072,geral@cm-salvaterrademagos.pt,263509500,263509501,www.cm-salvaterrademagos.pt,Hélder Manuel Ramalho de Sousa Esménio,salvaterrademagos.croa.pt,1
2785,Município Santa Comba Dão,PT506637441,"Largo do Município, N.º 13",Santa Comba Dão,Viseu,3440-337,geral@cm-santacombadao.pt,232880500,232880501,www.cm-santacombadao.pt,Leonel Gouveia,santacombadao.croa.pt,1
2786,Município Santa Cruz,PT511244681,Praça Dr. João Abel de Freitas,Santa Cruz,Madeira,9100-157,geral@cm-santacruz.pt,291520100,291520118,www.cm-santacruz.pt,Filipe Martiniano Martins de Sousa,santacruz.croa.pt,1
2787,Município Santa Cruz da Graciosa,PT512069760,Largo Vasco da Gama,Santa Cruz da Graciosa,Açores,9880-352,geral@cm-graciosa.pt,295730040,295712124,www.cm-graciosa.pt,Manuel Avelar Cunha Santos,graciosa.croa.pt,1
2788,Município Santa Cruz das Flores,PT512079110,"Rua Senador Andre de Freitas, N.º 13",Santa Cruz das Flores,Açores,9970-337,geral@cmscflores.pt,292590700,292590718,www.cm-santacruzdasflores.azoresdigital.pt,José Carlos Pimentel Mendes,santacruzdasflores.croa.pt,1
2646,Município Santa Maria da Feira,PT501157280,"Praça da República, N.º 135",Santa Maria da Feira,Aveiro,4524-909,santamariadafeira@cm-feira.pt,256370810,256370801,www.cm-feira.pt,Emídio Ferreira dos Santos Sousa,feira.croa.pt,1
2789,Município Santa Marta de Penaguião,PT506829138,Rua dos Combatentes,Santa Marta de Penaguião,Vila Real,5030-477,geral@cm-smpenaguiao.pt,254810130,254810131,www.cm-smpenaguiao.pt,Luís Reguengo Machado,smpenaguiao.croa.pt,1
2790,Município Santana,PT511239980,Sitio do Serrado,Santana,Madeira,9230-116,gap@cm-santana.com,291570200,291570201,www.cm-santana.com,Teófilo Alírio Reis Cunha,santana.croa.pt,1
2791,Município Santarém,PT505941350,Praça do Município,Santarém,Santarém,2005-245,geral@cm-santarem.pt,243304200,243304299,www.cm-santarem.pt,Ricardo Gonçalves Ribeiro Gonçalves,santarem.croa.pt,1
2792,Município Santiago do Cacém,PT502130040,Praça do Município,Santiago do Cacém,Setúbal,7540-136,geral@cm-santiagocacem.pt,269829400,269829498,www.cm-santiagocacem.pt,Álvaro dos Santos Beijinha,santiagodocacem.croa.pt,1
2793,Município Santo Tirso,PT501306870,Praça 25 de Abril,Santo Tirso,Porto,4780-373,gap@cm-stirso.pt,252830407,252856534,www.cm-stirso.pt,Joaquim Barbosa Ferreira Couto,santotirso.croa.pt,1
2776,Município São Brás de Alportel,PT503219924,"Gago Coutinho, N.º 1",São Brás de Alportel,Faro,8150-151,gap@cm-sbras.pt,289840000,289842455,www.cm-sbras.pt,Vítor Manuel Martins Guerreiro,sbras.croa.pt,1
2777,Município São João da Madeira,PT506538575,Av. da Liberdade,São João da Madeira,Aveiro,3700-956,geral@cm-sjm.pt,256200200,256200296,www.cm-sjm.pt,Ricardo Nicolau Soares Terra de Oliveira Figueiredo,sjm.croa.pt,1
2778,Município São João da Pesqueira,PT506892646,"Av.ª Marquês de Soveral, n.º 67",São João da Pesqueira,Viseu,5130-321,cmsjp@sjpesqueira.pt,254489999,254489989,www.sjpesqueira.pt,José António Fontão Tulha,sjpesqueira.croa.pt,1
2779,Município São Pedro do Sul,PT506785815,Rua De Camões,São Pedro do Sul,Viseu,3660-436,geral@cm-spsul.pt,232723003,232723406,www.cm-spsul.pt,Vítor Manuel de Almeida Figueiredo,spsul.croa.pt,1
2780,Município São Roque do Pico,PT512074771,Alameda 10 de Novembro,São Roque do Pico,Açores,9940-353,cmsrp@mail.telepac.pt,292648700,292648709,www.municipio-lajes-do-pico.pt,Mark Anthony Silveira,lajesdopico.croa.pt,1
2781,Município São Vicente,PT511240112,Paços do Município - Vila de São Vicente,São Vicente,Madeira,9240-225,geral@cm-saovicente.pt,291840020,291842666,www.cm-saovicente.pt,José António Gonçalves Garcês,saovicente.croa.pt,1
